ticker,bar_et,scan_key,mode,setup_tags,pass_score,close,pre_clv,post_clv,mf_z,vol_spike,rvol_slot,session_rvol,vwap,dist_vwap_pct,atr_expand,rs_qqq_20,rs_open_qqq,rs_sec_20,wick_ratio,body_ratio,daily_uptrend,daily_ema_stack,intra_uptrend,above_vwap,breakout,orb_break,vwap_reclaim,pmh_break,first_pullback,squeeze_release,sector
HPE,2026-04-20 10:00,HPE|2026-04-20 10:00,BOTH,ORB,20.839,27.685,-0.1171,0.8151,2.219,2.013,2.862,1.78,27.3013,1.41,2.249,0.074,0.0486,0.0,0.107,0.893,True,True,True,True,False,True,False,False,False,False,UNKNOWN
NEXA,2026-04-20 10:00,NEXA|2026-04-20 10:00,STRONG_CONT,ORB,20.267,16.67,0.3775,0.9471,1.624,1.645,3.708,2.639,16.2341,2.68,1.677,0.1129,0.051,0.0,0.018,0.732,True,True,True,True,False,True,False,False,False,False,UNKNOWN
NVTS,2026-04-20 10:00,NVTS|2026-04-20 10:00,BOTH,"ORB, BOX",17.253,12.855,-0.5117,0.6396,0.908,1.422,2.24,1.445,12.5248,2.64,2.303,0.0579,0.0617,0.0,0.228,0.691,True,True,True,True,True,True,False,False,False,False,UNKNOWN
GMED,2026-04-20 10:00,GMED|2026-04-20 10:00,BOTH,"ORB, BOX",16.699,96.13,-0.453,0.8328,1.452,1.542,1.835,1.384,95.7436,0.4,1.096,0.0224,0.0093,0.0,0.127,0.778,True,True,True,True,True,True,False,False,False,False,UNKNOWN
CRDO,2026-04-20 09:30,CRDO|2026-04-20 09:30,SQUEEZE_POP,NR7,16.376,166.32,0.3373,0.2804,3.774,3.356,0.827,0.913,164.3317,1.21,2.514,0.0411,0.0353,0.0,0.0,0.951,True,True,True,True,False,False,False,False,False,False,UNKNOWN
GNRC,2026-04-20 10:00,GNRC|2026-04-20 10:00,BOTH,"ORB, HH, BOX",16.205,217.01,-0.0092,0.4311,1.472,1.786,1.901,0.97,215.3009,0.79,2.337,0.0363,0.0287,0.0,0.085,0.85,True,True,True,True,True,True,False,False,False,False,UNKNOWN
DELL,2026-04-20 09:30,DELL|2026-04-20 09:30,SQUEEZE_POP,NR7,16.085,201.478,0.2157,-0.0648,5.72,2.347,1.083,1.038,199.946,0.77,3.455,0.041,0.0251,0.0,0.065,0.933,True,True,True,True,False,False,False,False,False,False,UNKNOWN
GL,2026-04-20 09:30,GL|2026-04-20 09:30,CONTINUATION,NR7,15.808,152.41,0.2877,0.3893,2.098,1.625,2.018,1.779,151.7767,0.42,3.851,0.0086,0.0144,0.0,0.111,0.889,True,True,True,True,False,False,False,False,False,False,UNKNOWN
DAVE,2026-04-20 09:30,DAVE|2026-04-20 09:30,BOTH,NR7,14.782,257.4815,-0.4888,0.3699,1.113,1.438,1.451,1.59,254.5472,1.15,2.441,0.1007,0.0419,0.0,0.13,0.87,True,True,True,True,False,False,False,False,False,False,UNKNOWN
KGC,2026-04-20 09:30,KGC|2026-04-20 09:30,BOTH,NR7,13.089,34.58,-0.4249,0.8684,2.354,2.059,1.064,0.991,34.3933,0.54,2.249,0.0156,0.0003,0.0,0.132,0.013,True,True,False,True,False,False,False,False,False,False,UNKNOWN
VLY,2026-04-20 09:30,VLY|2026-04-20 09:30,SQUEEZE_POP,NR7,11.895,13.605,0.0167,0.2045,0.601,1.724,1.38,1.334,13.575,0.22,2.447,0.0306,0.0085,0.0,0.295,0.523,True,True,True,True,False,False,False,False,False,False,UNKNOWN
ROIV,2026-04-20 09:30,ROIV|2026-04-20 09:30,SQUEEZE_POP,NR7,9.734,29.465,0.0412,-0.3365,-1.909,2.019,2.263,1.88,29.5656,-0.34,1.824,-0.0052,-0.0092,0.0,0.223,0.613,True,True,False,False,False,False,False,False,False,False,UNKNOWN
AMD,2026-04-20 09:30,AMD|2026-04-20 09:30,SQUEEZE_POP,NR7,9.161,279.6001,0.2369,-0.6438,-4.539,3.134,1.239,1.251,282.2034,-0.92,3.437,0.0058,-0.0036,-0.0033,0.854,0.122,True,True,True,False,False,False,False,False,False,False,SEMIS
