ticker,bar_et,scan_key,mode,setup_tags,pass_score,close,pre_clv,post_clv,mf_z,vol_spike,rvol_slot,session_rvol,vwap,dist_vwap_pct,atr_expand,rs_qqq_20,rs_open_qqq,rs_sec_20,wick_ratio,body_ratio,daily_uptrend,daily_ema_stack,intra_uptrend,above_vwap,breakout,orb_break,vwap_reclaim,pmh_break,first_pullback,squeeze_release,sector
FHN,2026-06-09 10:30,FHN|2026-06-09 10:30,SQUEEZE_POP,NR7,14.862,24.76,-0.2081,-0.235,-0.548,3.555,4.115,2.315,24.7585,0.01,1.522,0.018,0.0273,0,0.579,0.036,True,True,True,True,False,False,False,False,False,False,UNKNOWN
CRDO,2026-06-09 10:30,CRDO|2026-06-09 10:30,SQUEEZE_POP,NR7,12.839,235.42,0.0568,-0.3587,-0.149,1.523,1.733,1.7,240.7857,-2.23,1.262,0.109,0.0529,0,0.197,0.335,True,True,True,False,False,False,False,False,False,False,UNKNOWN
JCI,2026-06-09 10:30,JCI|2026-06-09 10:30,SQUEEZE_POP,NR7,12.313,146.665,-0.0239,-0.1573,-0.512,1.859,2.155,1.407,147.3682,-0.48,2.036,0.0253,0.0117,0,0.203,0.413,True,True,True,False,False,False,False,False,False,False,UNKNOWN
APH,2026-06-09 10:30,APH|2026-06-09 10:30,SQUEEZE_POP,NR7,12.222,151.215,-0.4378,0.1499,-0.134,1.571,1.296,1.626,151.6473,-0.29,1.593,0.0859,0.0401,0,0.144,0.39,True,True,True,False,False,False,False,False,False,False,UNKNOWN
CHRW,2026-06-09 10:30,CHRW|2026-06-09 10:30,REVERSAL,NR7,12.179,191.11,-0.0313,0.2604,-0.61,1.171,1.508,1.374,190.8429,0.14,1.19,0.0335,0.0294,0,0.243,0.331,True,True,True,True,False,False,False,False,False,False,UNKNOWN
BAC,2026-06-09 10:30,BAC|2026-06-09 10:30,SQUEEZE_POP,NR7,10.763,54.275,-0.0095,-0.0163,1.221,1.605,1.623,1.222,54.2907,-0.03,2.233,0.0072,0.0197,0,0.156,0.115,True,True,True,False,False,False,False,False,False,False,UNKNOWN
ATI,2026-06-09 10:30,ATI|2026-06-09 10:30,SQUEEZE_POP,NR7,10.438,186.21,0.3104,0.2829,0.21,0.983,0.848,1.624,186.6177,-0.22,1.866,0.0514,0.0307,0,0.197,0.151,True,True,True,False,False,False,False,False,False,False,UNKNOWN
COHU,2026-06-09 10:30,COHU|2026-06-09 10:30,SQUEEZE_POP,NR7,10.328,54.665,0.1156,-0.2428,0.306,1.689,1.617,1.152,55.4227,-1.37,1.822,0.0924,-0.0006,0,0.193,0.28,True,True,True,False,False,False,False,False,False,False,UNKNOWN
EWBC,2026-06-09 10:30,EWBC|2026-06-09 10:30,SQUEEZE_POP,NR7,9.639,128.79,0.0004,-0.0953,0.014,0.843,1.184,1.731,129.302,-0.4,1.936,0.0201,0.026,0,0.062,0.577,True,True,True,False,False,False,False,False,False,False,UNKNOWN
RF,2026-06-09 10:30,RF|2026-06-09 10:30,SQUEEZE_POP,NR7,7.9,28.925,0.0509,-0.1381,-0.224,0.724,0.756,1.11,29.0561,-0.45,2.139,0.0108,0.0211,0,0.132,0.588,True,True,True,False,False,False,False,False,False,False,UNKNOWN
STT,2026-06-09 11:00,STT|2026-06-09 11:00,SQUEEZE_POP,SQ,7.01,160.0,0.0465,-0.3717,-0.954,0.662,0.842,1.206,162.401,-1.48,2.564,0.0024,0.0062,0,0.009,0.991,True,True,False,False,False,False,False,False,False,True,UNKNOWN
ARCB,2026-06-09 13:30,ARCB|2026-06-09 13:30,STRONG_CONT,BOX,22.183,171.77,0.1806,1.0,3.239,2.246,6.047,3.435,168.0371,2.22,1.034,0.0777,0.0406,0,0.0,1.0,True,True,True,True,True,False,False,False,False,False,UNKNOWN
CARR,2026-06-09 13:30,CARR|2026-06-09 13:30,BOTH,"ORB, HH, BOX",17.367,70.4,-0.41,0.8775,1.478,1.159,1.65,1.344,69.4294,1.4,1.077,0.061,0.0628,0,0.058,0.831,True,True,True,True,True,True,False,False,False,False,UNKNOWN
ATI,2026-06-09 13:30,ATI|2026-06-09 13:30,BOTH,VWAP,16.933,183.65,-0.4415,0.6144,0.813,1.566,2.079,1.811,183.2652,0.21,0.936,0.0512,0.0305,0,0.306,0.572,True,True,True,True,False,False,True,False,False,False,UNKNOWN
CHRW,2026-06-09 13:00,CHRW|2026-06-09 13:00,BOTH,VWAP,16.876,190.12,-0.4818,0.8869,1.735,1.263,1.8,1.475,189.5711,0.29,1.413,0.0449,0.0408,0,0.113,0.887,True,True,True,True,False,False,True,False,False,False,UNKNOWN
VLY,2026-06-09 13:00,VLY|2026-06-09 13:00,REVERSAL,VWAP,16.388,14.03,-0.1915,0.1374,1.545,1.383,2.566,1.993,14.0049,0.18,1.14,0.0415,0.0363,0,0.08,0.92,True,True,True,True,False,False,True,False,False,False,UNKNOWN
CNC,2026-06-09 13:30,CNC|2026-06-09 13:30,REVERSAL,PMH,16.045,65.495,-0.1988,0.2983,1.578,1.42,3.259,1.292,64.9894,0.78,0.818,0.074,0.0345,0,0.028,0.806,True,True,True,True,False,False,False,True,False,False,UNKNOWN
CRDO,2026-06-09 13:00,CRDO|2026-06-09 13:00,BOTH,NR7,15.357,225.84,-0.8449,0.8866,1.166,1.467,3.25,1.794,232.2916,-2.78,1.403,0.0464,0.0273,0,0.074,0.661,True,True,False,False,False,False,False,False,False,False,UNKNOWN
STM,2026-06-09 13:00,STM|2026-06-09 13:00,BOTH,NR7,14.268,71.03,-0.7046,0.8957,1.894,1.535,3.922,2.125,71.8577,-1.15,1.574,-0.0327,-0.0319,0,0.082,0.823,True,True,False,False,False,False,False,False,False,False,UNKNOWN
